time,n
0.001022,393000
0.001048,394000
0.001025,395000
0.001044,396000
0.001038,397000
0.001067,398000
0.001096,399000
0.001103,400000
0.001106,401000
0.001087,402000
0.001121,403000
0.001084,404000
0.001087,405000
0.001098,406000
0.001109,407000
0.001152,408000
0.001148,409000
0.001135,410000
0.001176,411000
0.001139,412000
0.001161,413000
0.001122,414000
0.001114,415000
0.001116,416000
0.001154,417000
0.001131,418000
0.001125,419000
0.001143,420000
0.001125,421000
0.001125,422000
0.001143,423000
0.0011,424000
0.001105,425000
0.001148,426000
0.001204,427000
0.001187,428000
0.001165,429000
0.001131,430000
0.001118,431000
0.001145,432000
0.001115,433000
0.001129,434000
0.001121,435000
0.00114,436000
0.001172,437000
0.001137,438000
0.001177,439000
0.001143,440000
0.001164,441000
0.001139,442000
0.001151,443000
0.001212,444000
0.001146,445000
0.001196,446000
0.001189,447000
0.001163,448000
0.001157,449000
0.001159,450000
0.00123,451000
0.001195,452000
0.001166,453000
0.00121,454000
0.001179,455000
0.001186,456000
0.001132,457000
0.001151,458000
0.001137,459000
0.001221,460000
0.001195,461000
0.0012,462000
0.001221,463000
0.001173,464000
0.001222,465000
0.001154,466000
0.0012,467000
0.001212,468000
0.001227,469000
0.001164,470000
0.001209,471000
0.001169,472000
0.001405,473000
0.00134,474000
0.001354,475000
0.001343,476000
0.001303,477000
0.001235,478000
0.00128,479000
0.001236,480000
0.001246,481000
0.001259,482000
0.001245,483000
0.001255,484000
0.00125,485000
0.001252,486000
0.001279,487000
0.001314,488000
0.001279,489000
0.001269,490000
0.001265,491000
0.001267,492000
0.001286,493000
0.001272,494000
0.001333,495000
0.001286,496000
0.001315,497000
0.001249,498000
0.001246,499000
0.001238,500000
0.001241,501000
0.001253,502000
0.001279,503000
0.001248,504000
0.001285,505000
0.001269,506000
0.001309,507000
0.001319,508000
0.001318,509000
0.001321,510000
0.00131,511000
0.001393,512000
0.001386,513000
0.00139,514000
0.001391,515000
0.001385,516000
0.001387,517000
0.001422,518000
0.001405,519000
0.001365,520000
0.001351,521000
0.001344,522000
0.001354,523000
0.00135,524000
0.001371,525000
0.001398,526000
0.001441,527000
0.001426,528000
0.001431,529000
0.001365,530000
0.001367,531000
0.001401,532000
0.001401,533000
0.001425,534000
0.001405,535000
0.001382,536000
0.001383,537000
0.001408,538000
0.001388,539000
0.001425,540000
0.001394,541000
0.001489,542000
0.001407,543000
0.001401,544000
0.001433,545000
0.001443,546000
0.00146,547000
0.001463,548000
0.00144,549000
0.001416,550000
0.001435,551000
0.001428,552000
0.001424,553000
0.001513,554000
0.001516,555000
0.001546,556000
0.001526,557000
0.001502,558000
0.001449,559000
0.001449,560000
0.001471,561000
0.001487,562000
0.00145,563000
0.00147,564000
0.001471,565000
0.001458,566000
0.00151,567000
0.001587,568000
0.001501,569000
0.001527,570000
0.001471,571000
0.001543,572000
0.001498,573000
0.001478,574000
0.001522,575000
0.001516,576000
0.001486,577000
0.001496,578000
0.001501,579000
0.001494,580000
0.001549,581000
0.001543,582000
0.001555,583000
0.001588,584000
0.001549,585000
0.001515,586000
0.001511,587000
0.00155,588000
0.001619,589000
0.001591,590000
0.001582,591000
0.001536,592000
0.001537,593000
0.001537,594000
0.001565,595000
0.001587,596000
0.001551,597000
0.001583,598000
0.001586,599000
0.001546,600000
0.001566,601000
0.001559,602000
0.001572,603000
0.001599,604000
0.001568,605000
0.001561,606000
0.001571,607000
0.0016,608000
0.001605,609000
0.001571,610000
0.001583,611000
0.001538,612000
0.001541,613000
0.001646,614000
0.001599,615000
0.001599,616000
0.001605,617000
0.001592,618000
0.001614,619000
0.001597,620000
0.001625,621000
0.001634,622000
0.001605,623000
0.001613,624000
0.001619,625000
0.001648,626000
0.001632,627000
0.00161,628000
0.001626,629000
0.001637,630000
0.001632,631000
0.001637,632000
0.001669,633000
0.00166,634000
0.001645,635000
0.001644,636000
0.00166,637000
0.001653,638000
0.001671,639000
0.001689,640000
0.001658,641000
0.001653,642000
0.001672,643000
0.001658,644000
0.001695,645000
0.001658,646000
0.001692,647000
0.001685,648000
0.001671,649000
0.001674,650000
0.001733,651000
0.001678,652000
0.001683,653000
0.00167,654000
0.001692,655000
0.001698,656000
0.001778,657000
0.001704,658000
0.001726,659000
0.001707,660000
0.001701,661000
0.001646,662000
0.001694,663000
0.001734,664000
0.001719,665000
0.001714,666000
0.001774,667000
0.001855,668000
0.00176,669000
0.001746,670000
0.001743,671000
0.001731,672000
0.001733,673000
0.00176,674000
0.001769,675000
0.001769,676000
0.001743,677000
0.001785,678000
0.001749,679000
0.001751,680000
0.001807,681000
0.001798,682000
0.001767,683000
0.001761,684000
0.001785,685000
0.00182,686000
0.001823,687000
0.001804,688000
0.001791,689000
0.001805,690000
0.001765,691000
0.001823,692000
0.001806,693000
0.001761,694000
0.001795,695000
0.001801,696000
0.001796,697000
0.002037,698000
0.002004,699000
0.002335,700000
0.002287,701000
0.002305,702000
0.002342,703000
0.002677,704000
0.002675,705000
0.00278,706000
0.003171,707000
0.003285,708000
0.003362,709000
0.003345,710000
0.003451,711000
0.003393,712000
0.003317,713000
0.003314,714000
0.003396,715000
0.003473,716000
0.00334,717000
0.003389,718000
0.003343,719000
0.003398,720000
0.003436,721000
0.003513,722000
0.003338,723000
0.003416,724000
0.003399,725000
0.00339,726000
0.003452,727000
0.00342,728000
0.003381,729000
0.003444,730000
0.002774,731000
0.002632,732000
0.002678,733000
0.002481,734000
0.002237,735000
0.002164,736000
0.002169,737000
0.002062,738000
0.001901,739000
0.001949,740000
0.001908,741000
0.001936,742000
0.001909,743000
0.001948,744000
0.001963,745000
0.001847,746000
0.001866,747000
0.001874,748000
0.001902,749000
0.001907,750000
0.00199,751000
0.0019,752000
0.001875,753000
0.001867,754000
0.002,755000
0.001939,756000
0.001929,757000
0.001896,758000
0.001895,759000
0.002006,760000
0.002039,761000
0.00198,762000
0.002063,763000
